city,ds,bookings
City_2,03/08/2013,239
City_2,04/08/2013,308
City_2,05/08/2013,363
City_2,06/08/2013,355
City_2,07/08/2013,351
City_2,08/08/2013,343
City_2,09/08/2013,265
City_2,10/08/2013,263
City_2,11/08/2013,336
City_2,12/08/2013,374
City_2,13/08/2013,390
City_2,14/08/2013,365
City_2,15/08/2013,343
City_2,16/08/2013,259
City_2,17/08/2013,270
City_2,18/08/2013,371
City_2,19/08/2013,373
City_2,20/08/2013,365
City_2,21/08/2013,334
City_2,22/08/2013,329
City_2,23/08/2013,209
City_2,24/08/2013,263
City_2,25/08/2013,304
City_2,26/08/2013,353
City_2,27/08/2013,370
City_2,28/08/2013,306
City_2,29/08/2013,254
City_2,30/08/2013,210
City_2,31/08/2013,214
City_2,01/09/2013,289
City_2,02/09/2013,344
City_2,03/09/2013,363
City_2,04/09/2013,341
City_2,05/09/2013,377
City_2,06/09/2013,272
City_2,07/09/2013,274
City_2,08/09/2013,359
City_2,09/09/2013,397
City_2,10/09/2013,361
City_2,11/09/2013,357
City_2,12/09/2013,296
City_2,13/09/2013,234
City_2,14/09/2013,253
City_2,15/09/2013,375
City_2,16/09/2013,382
City_2,17/09/2013,334
City_2,18/09/2013,332
City_2,19/09/2013,287
City_2,20/09/2013,233
City_2,21/09/2013,260
City_2,22/09/2013,338
City_2,23/09/2013,366
City_2,24/09/2013,348
City_2,25/09/2013,317
City_2,26/09/2013,296
City_2,27/09/2013,208
City_2,28/09/2013,233
City_2,29/09/2013,290
City_2,30/09/2013,344
City_2,01/10/2013,342
City_2,02/10/2013,342
City_2,03/10/2013,280
City_2,04/10/2013,219
City_2,05/10/2013,244
City_2,06/10/2013,318
City_2,07/10/2013,329
City_2,08/10/2013,325
City_2,09/10/2013,329
City_2,10/10/2013,307
City_2,11/10/2013,205
City_2,12/10/2013,205
City_2,13/10/2013,252
City_2,14/10/2013,287
City_2,15/10/2013,302
City_2,16/10/2013,254
City_2,17/10/2013,287
City_2,18/10/2013,173
City_2,19/10/2013,163
City_2,20/10/2013,247
City_2,21/10/2013,258
City_2,22/10/2013,287
City_2,23/10/2013,278
City_2,24/10/2013,230
City_2,25/10/2013,186
City_2,26/10/2013,170
City_2,27/10/2013,209
City_2,28/10/2013,274
City_2,29/10/2013,275
City_2,30/10/2013,238
City_2,31/10/2013,239
City_2,01/11/2013,153
City_2,02/11/2013,181
City_2,03/11/2013,248
City_2,04/11/2013,289
City_2,05/11/2013,281
City_2,06/11/2013,312
City_2,07/11/2013,259
City_2,08/11/2013,189
City_2,09/11/2013,176
City_2,10/11/2013,231
City_2,11/11/2013,258
City_2,12/11/2013,260
City_2,13/11/2013,247
City_2,14/11/2013,215
City_2,15/11/2013,195
City_2,16/11/2013,225
City_2,17/11/2013,268
City_2,18/11/2013,263
City_2,19/11/2013,248
City_2,20/11/2013,192
City_2,21/11/2013,180
City_2,22/11/2013,166
City_2,23/11/2013,161
City_2,24/11/2013,190
City_2,25/11/2013,221
City_2,26/11/2013,220
City_2,27/11/2013,152
City_2,28/11/2013,155
City_2,29/11/2013,151
City_2,30/11/2013,172
City_2,01/12/2013,251
City_2,02/12/2013,261
City_2,03/12/2013,277
City_2,04/12/2013,228
City_2,05/12/2013,229
City_2,06/12/2013,194
City_2,07/12/2013,187
City_2,08/12/2013,205
City_2,09/12/2013,227
City_2,10/12/2013,222
City_2,11/12/2013,190
City_2,12/12/2013,219
City_2,13/12/2013,153
City_2,14/12/2013,168
City_2,15/12/2013,208
City_2,16/12/2013,216
City_2,17/12/2013,222
City_2,18/12/2013,218
City_2,19/12/2013,184
City_2,20/12/2013,177
City_2,21/12/2013,156
City_2,22/12/2013,206
City_2,23/12/2013,165
City_2,24/12/2013,130
City_2,25/12/2013,170
City_2,26/12/2013,232
City_2,27/12/2013,182
City_2,28/12/2013,199
City_2,29/12/2013,209
City_2,30/12/2013,221
City_1,01/01/2013,16
City_1,02/01/2013,20
City_1,03/01/2013,15
City_1,04/01/2013,22
City_1,05/01/2013,16
City_1,06/01/2013,15
City_1,07/01/2013,31
City_1,08/01/2013,20
City_1,09/01/2013,32
City_1,10/01/2013,14
City_1,11/01/2013,18
City_1,12/01/2013,23
City_1,13/01/2013,21
City_1,14/01/2013,17
City_1,15/01/2013,22
